Well,Culture,Replicate,Contents
A1,0,A,0Aecolir2a
A2,0,B,0Becolir2a
A3,0,C,0Cecolir2a
A4,0,D,0Decolir2a
A8,0,E,0Eecolir2a
A9,0,F,0Fecolir2a
A10,0,G,0Gecolir2a
A11,0,H,0Hecolir2a
B1,1,A,1Aecolir2a
B2,1,B,1Becolir2a
B3,1,C,1Cecolir2a
B4,1,D,1Decolir2a
C1,1.5,A,1.5Aecolir2a
C2,1.5,B,1.5Becolir2a
C3,1.5,C,1.5Cecolir2a
C4,1.5,D,1.5Decolir2a
D1,2,A,2Aecolir2a
D2,2,B,2Becolir2a
D3,2,C,2Cecolir2a
D4,2,D,2Decolir2a
E1,2.5,A,2.5Aecolir2a
E2,2.5,B,2.5Becolir2a
E3,2.5,C,2.5Cecolir2a
E4,2.5,D,2.5Decolir2a
F1,3,A,3Aecolir2a
F1,3,B,3Becolir2a
F3,3,C,3Cecolir2a
F4,3,D,3Decolir2a
G1,4,A,4Aecolir2a
G2,4,B,4Becolir2a
G3,4,C,4Cecolir2a
G4,4,D,4Decolir2a
H1,8,A,8Aecolir2a
H2,8,B,8Becolir2a
H3,8,C,8Cecolir2a
H4,8,D,8Decolir2a
G6,SC,A,SCAecolir2a
H6,SC,B,SCBecolir2a
G7,SC,C,SCCecolir2a
H7,SC,D,SCDecolir2a
A5,X,X,XXecolir2a
B5,X,X,XXecolir2a
C5,X,X,XXecolir2a
D5,X,X,XXecolir2a
E5,X,X,XXecolir2a
F5,X,X,XXecolir2a
G5,X,X,XXecolir2a
H5,X,X,XXecolir2a
A6,X,X,XXecolir2a
B6,X,X,XXecolir2a
C6,X,X,XXecolir2a
D6,X,X,XXecolir2a
E6,X,X,XXecolir2a
F6,X,X,XXecolir2a
A7,X,X,XXecolir2a
B7,X,X,XXecolir2a
C7,X,X,XXecolir2a
D7,X,X,XXecolir2a
E7,X,X,XXecolir2a
F7,X,X,XXecolir2a
B8,X,X,XXecolir2a
C8,X,X,XXecolir2a
D8,X,X,XXecolir2a
E8,X,X,XXecolir2a
F8,X,X,XXecolir2a
G8,X,X,XXecolir2a
H8,X,X,XXecolir2a
B9,X,X,XXecolir2a
C9,X,X,XXecolir2a
D9,X,X,XXecolir2a
E9,X,X,XXecolir2a
F9,X,X,XXecolir2a
G9,X,X,XXecolir2a
H9,X,X,XXecolir2a
B10,X,X,XXecolir2a
C10,X,X,XXecolir2a
D10,X,X,XXecolir2a
E10,X,X,XXecolir2a
F10,X,X,XXecolir2a
G10,X,X,XXecolir2a
H10,X,X,XXecolir2a
B11,X,X,XXecolir2a
C11,X,X,XXecolir2a
D11,X,X,XXecolir2a
E11,X,X,XXecolir2a
F11,X,X,XXecolir2a
G11,X,X,XXecolir2a
H11,X,X,XXecolir2a
A12,X,X,XXecolir2a
B12,X,X,XXecolir2a
C12,X,X,XXecolir2a
D12,X,X,XXecolir2a
E12,X,X,XXecolir2a
F12,X,X,XXecolir2a
G12,X,X,XXecolir2a
H12,X,X,XXecolir2a